,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),CXL.mem_P0Write,CXL.cache_P0hst->dv,DRAMRead,DRAMWrite,PMMREAD,PMMWrite,CXLRead,Read,Write,Memory
2026-01-14,17:58:32.746,   40.53,   19.05,    0.00,    0.00,,,,,   39.72,   18.48,    0.00,    0.00,,,,,   39.45,   18.21,    0.00,    0.00,,,,,   40.22,   18.74,    0.00,    0.00,,,,,  159.92,   74.48,    0.00,    0.00,  234.40,   58.73,   15.56,    0.00,    0.00,,,,,   58.63,   15.64,    0.00,    0.00,,,,,   58.41,   15.32,    0.00,    0.00,,,,,   58.69,   15.56,    0.00,    0.00,,,,,  234.46,   62.09,    0.00,    0.00,  296.55, 7197.63,    0.00,    394.38,    136.58,      0.00,      0.00,   6740.33,    394.38,    136.58,    530.96
2026-01-14,17:58:33.763,   58.16,   24.86,    0.00,    0.00,,,,,   57.34,   24.26,    0.00,    0.00,,,,,   57.07,   23.99,    0.00,    0.00,,,,,   57.78,   24.59,    0.00,    0.00,,,,,  230.35,   97.69,    0.00,    0.00,  328.04,   50.21,   17.78,    0.00,    0.00,,,,,   50.31,   18.03,    0.00,    0.00,,,,,   49.88,   17.56,    0.00,    0.00,,,,,   50.40,   17.96,    0.00,    0.00,,,,,  200.80,   71.33,    0.00,    0.00,  272.14, 3324.55,    0.00,    431.15,    169.03,      0.00,      0.00,   6426.75,    431.15,    169.03,    600.17
2026-01-14,17:58:34.763,   57.08,   26.73,    0.00,    0.00,,,,,   56.13,   25.87,    0.00,    0.00,,,,,   55.98,   25.67,    0.00,    0.00,,,,,   56.73,   26.45,    0.00,    0.00,,,,,  225.91,  104.72,    0.00,    0.00,  330.63,   68.98,   19.17,    0.00,    0.00,,,,,   69.05,   19.75,    0.00,    0.00,,,,,   68.41,   19.07,    0.00,    0.00,,,,,   69.19,   19.36,    0.00,    0.00,,,,,  275.63,   77.35,    0.00,    0.00,  352.97, 2398.94,    0.00,    501.54,    182.06,      0.00,      0.00,   5395.36,    501.54,    182.06,    683.60
2026-01-14,17:58:35.745,   34.97,   19.89,    0.00,    0.00,,,,,   34.04,   19.08,    0.00,    0.00,,,,,   33.75,   18.83,    0.00,    0.00,,,,,   34.60,   19.55,    0.00,    0.00,,,,,  137.36,   77.35,    0.00,    0.00,  214.71,   91.17,   27.65,    0.00,    0.00,,,,,   90.48,   27.81,    0.00,    0.00,,,,,   90.09,   27.17,    0.00,    0.00,,,,,   91.26,   27.75,    0.00,    0.00,,,,,  363.00,  110.38,    0.00,    0.00,  473.38, 2398.95,    0.00,    500.36,    187.74,      0.00,      0.00,   4115.42,    500.36,    187.74,    688.09
2026-01-14,17:58:36.746,   44.08,   21.02,    0.00,    0.00,,,,,   43.55,   20.49,    0.00,    0.00,,,,,   43.36,   20.26,    0.00,    0.00,,,,,   43.77,   20.78,    0.00,    0.00,,,,,  174.76,   82.56,    0.00,    0.00,  257.32,   85.21,   20.90,    0.00,    0.00,,,,,   84.85,   21.11,    0.00,    0.00,,,,,   84.45,   20.67,    0.00,    0.00,,,,,   85.37,   20.97,    0.00,    0.00,,,,,  339.88,   83.66,    0.00,    0.00,  423.54, 7225.16,    0.00,    514.64,    166.22,      0.00,      0.00,  10788.70,    514.64,    166.22,    680.86
2026-01-14,17:58:37.746,   35.37,   18.15,    0.00,    0.00,,,,,   34.88,   17.56,    0.00,    0.00,,,,,   34.53,   17.30,    0.00,    0.00,,,,,   35.01,   17.83,    0.00,    0.00,,,,,  139.78,   70.84,    0.00,    0.00,  210.62,   90.36,   21.84,    0.00,    0.00,,,,,   89.44,   21.98,    0.00,    0.00,,,,,   88.71,   21.34,    0.00,    0.00,,,,,   90.44,   21.82,    0.00,    0.00,,,,,  358.95,   86.97,    0.00,    0.00,  445.92, 8514.21,    0.00,    498.73,    157.82,      0.00,      0.00,  10708.44,    498.73,    157.82,    656.55
2026-01-14,17:58:38.752,   50.11,   21.92,    0.00,    0.00,,,,,   49.31,   21.29,    0.00,    0.00,,,,,   49.02,   21.02,    0.00,    0.00,,,,,   49.76,   21.68,    0.00,    0.00,,,,,  198.20,   85.91,    0.00,    0.00,  284.12,   98.25,   30.71,    0.00,    0.00,,,,,   97.89,   31.20,    0.00,    0.00,,,,,   97.32,   30.59,    0.00,    0.00,,,,,   98.13,   30.60,    0.00,    0.00,,,,,  391.59,  123.10,    0.00,    0.00,  514.68, 4471.81,    0.00,    589.79,    209.01,      0.00,      0.00,   7100.57,    589.79,    209.01,    798.80
2026-01-14,17:58:39.747,   38.13,   18.99,    0.00,    0.00,,,,,   37.27,   18.22,    0.00,    0.00,,,,,   37.10,   18.07,    0.00,    0.00,,,,,   37.74,   18.66,    0.00,    0.00,,,,,  150.24,   73.94,    0.00,    0.00,  224.18,   54.68,   18.44,    0.00,    0.00,,,,,   54.77,   18.73,    0.00,    0.00,,,,,   54.00,   18.01,    0.00,    0.00,,,,,   54.65,   18.44,    0.00,    0.00,,,,,  218.10,   73.61,    0.00,    0.00,  291.71, 2951.31,    0.00,    368.34,    147.55,      0.00,      0.00,   2336.34,    368.34,    147.55,    515.90
2026-01-14,17:58:40.747,   39.44,   19.33,    0.00,    0.00,,,,,   38.64,   18.68,    0.00,    0.00,,,,,   38.43,   18.46,    0.00,    0.00,,,,,   39.04,   18.96,    0.00,    0.00,,,,,  155.56,   75.44,    0.00,    0.00,  231.00,   59.91,   19.27,    0.00,    0.00,,,,,   60.24,   19.74,    0.00,    0.00,,,,,   59.38,   18.89,    0.00,    0.00,,,,,   59.96,   19.26,    0.00,    0.00,,,,,  239.50,   77.15,    0.00,    0.00,  316.65, 3131.55,    0.00,    395.05,    152.59,      0.00,      0.00,   4281.14,    395.05,    152.59,    547.64
2026-01-14,17:58:41.747,   36.58,   19.83,    0.00,    0.00,,,,,   36.21,   19.30,    0.00,    0.00,,,,,   35.98,   19.10,    0.00,    0.00,,,,,   36.31,   19.55,    0.00,    0.00,,,,,  145.09,   77.77,    0.00,    0.00,  222.86,  124.09,   27.05,    0.00,    0.00,,,,,  123.12,   27.08,    0.00,    0.00,,,,,  122.83,   26.74,    0.00,    0.00,,,,,  124.60,   27.17,    0.00,    0.00,,,,,  494.64,  108.04,    0.00,    0.00,  602.69, 6040.46,    0.00,    639.73,    185.81,      0.00,      0.00,  10785.46,    639.73,    185.81,    825.54
