,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System,System,System,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),Ch0Read,Ch0Write,Ch0PMM_Read,Ch0PMM_Write,Ch1Read,Ch1Write,Ch1PMM_Read,Ch1PMM_Write,Ch2Read,Ch2Write,Ch2PMM_Read,Ch2PMM_Write,Ch3Read,Ch3Write,Ch3PMM_Read,Ch3PMM_Write,Ch4Read,Ch4Write,Ch4PMM_Read,Ch4PMM_Write,Ch5Read,Ch5Write,Ch5PMM_Read,Ch5PMM_Write,Ch6Read,Ch6Write,Ch6PMM_Read,Ch6PMM_Write,Ch7Read,Ch7Write,Ch7PMM_Read,Ch7PMM_Write,Mem Read (MB/s),Mem Write (MB/s),PMM_Read (MB/s), PMM_Write (MB/s),Memory (MB/s),CXL.mem_P0Write,CXL.cache_P0hst->dv,DRAMRead,DRAMWrite,PMMREAD,PMMWrite,CXLRead,Read,Write,Memory
2026-01-14,17:54:05.509,  118.56,   85.72,    0.00,    0.00,,,,,  113.88,   80.24,    0.00,    0.00,,,,,  108.22,   75.99,    0.00,    0.00,,,,,  124.56,   91.82,    0.00,    0.00,,,,,  465.21,  333.77,    0.00,    0.00,  798.99,   67.04,   40.34,    0.00,    0.00,,,,,   74.67,   47.64,    0.00,    0.00,,,,,   80.12,   53.31,    0.00,    0.00,,,,,   67.80,   40.58,    0.00,    0.00,,,,,  289.63,  181.87,    0.00,    0.00,  471.51,    0.56,    0.00,    754.85,    515.65,      0.00,      0.00,      2.13,    754.85,    515.65,   1270.49
2026-01-14,17:54:06.509,   97.34,   76.32,    0.00,    0.00,,,,,   91.41,   69.68,    0.00,    0.00,,,,,   86.58,   66.26,    0.00,    0.00,,,,,  103.64,   82.76,    0.00,    0.00,,,,,  378.97,  295.02,    0.00,    0.00,  673.99,   60.41,   38.80,    0.00,    0.00,,,,,   68.36,   46.32,    0.00,    0.00,,,,,   74.40,   52.61,    0.00,    0.00,,,,,   61.20,   39.06,    0.00,    0.00,,,,,  264.37,  176.78,    0.00,    0.00,  441.15,    0.12,    0.00,    643.34,    471.80,      0.00,      0.00,      1.93,    643.34,    471.80,   1115.14
2026-01-14,17:54:07.509,  111.26,   84.25,    0.00,    0.00,,,,,   99.37,   72.53,    0.00,    0.00,,,,,   97.12,   71.55,    0.00,    0.00,,,,,  116.67,   89.77,    0.00,    0.00,,,,,  424.41,  318.11,    0.00,    0.00,  742.52,   63.45,   39.59,    0.00,    0.00,,,,,   71.77,   47.58,    0.00,    0.00,,,,,   77.41,   53.53,    0.00,    0.00,,,,,   64.36,   39.83,    0.00,    0.00,,,,,  277.00,  180.53,    0.00,    0.00,  457.52,    0.13,    0.00,    701.40,    498.64,      0.00,      0.00,      2.25,    701.40,    498.64,   1200.04
2026-01-14,17:54:08.509,  127.54,   88.59,    0.00,    0.00,,,,,  122.35,   83.23,    0.00,    0.00,,,,,  117.41,   79.71,    0.00,    0.00,,,,,  134.10,   95.50,    0.00,    0.00,,,,,  501.40,  347.02,    0.00,    0.00,  848.43,   84.71,   47.72,    0.00,    0.00,,,,,   95.40,   57.38,    0.00,    0.00,,,,,   99.06,   61.50,    0.00,    0.00,,,,,   84.95,   47.28,    0.00,    0.00,,,,,  364.11,  213.89,    0.00,    0.00,  577.99,    0.45,    0.00,    865.51,    560.91,      0.00,      0.00,      4.21,    865.51,    560.91,   1426.42
2026-01-14,17:54:09.510,  130.39,   92.39,    0.00,    0.00,,,,,  118.81,   81.29,    0.00,    0.00,,,,,  115.51,   79.22,    0.00,    0.00,,,,,  134.93,   97.19,    0.00,    0.00,,,,,  499.64,  350.10,    0.00,    0.00,  849.74,   65.13,   40.13,    0.00,    0.00,,,,,   75.37,   49.33,    0.00,    0.00,,,,,   79.71,   54.05,    0.00,    0.00,,,,,   65.06,   39.30,    0.00,    0.00,,,,,  285.28,  182.82,    0.00,    0.00,  468.10,    0.23,    0.00,    784.92,    532.92,      0.00,      0.00,      2.89,    784.92,    532.92,   1317.84
2026-01-14,17:54:10.511,  105.00,   82.15,    0.00,    0.00,,,,,   92.97,   70.49,    0.00,    0.00,,,,,   90.51,   69.19,    0.00,    0.00,,,,,  109.69,   87.21,    0.00,    0.00,,,,,  398.17,  309.04,    0.00,    0.00,  707.21,   63.90,   39.25,    0.00,    0.00,,,,,   72.86,   47.14,    0.00,    0.00,,,,,   78.40,   53.01,    0.00,    0.00,,,,,   64.13,   38.66,    0.00,    0.00,,,,,  279.30,  178.06,    0.00,    0.00,  457.36,    0.14,    0.00,    677.47,    487.10,      0.00,      0.00,      2.72,    677.47,    487.10,   1164.57
2026-01-14,17:54:11.511,  109.86,   81.82,    0.00,    0.00,,,,,  107.51,   79.03,    0.00,    0.00,,,,,  101.65,   74.32,    0.00,    0.00,,,,,  116.56,   89.11,    0.00,    0.00,,,,,  435.59,  324.28,    0.00,    0.00,  759.87,   68.47,   43.59,    0.00,    0.00,,,,,   68.15,   42.37,    0.00,    0.00,,,,,   77.09,   51.37,    0.00,    0.00,,,,,   65.68,   39.89,    0.00,    0.00,,,,,  279.38,  177.22,    0.00,    0.00,  456.60,    0.15,    0.00,    714.97,    501.50,      0.00,      0.00,      2.04,    714.97,    501.50,   1216.47
2026-01-14,17:54:12.511,   95.80,   76.22,    0.00,    0.00,,,,,   95.32,   75.08,    0.00,    0.00,,,,,   89.17,   70.18,    0.00,    0.00,,,,,  103.16,   84.19,    0.00,    0.00,,,,,  383.45,  305.67,    0.00,    0.00,  689.12,   65.13,   42.36,    0.00,    0.00,,,,,   63.80,   40.48,    0.00,    0.00,,,,,   72.63,   49.44,    0.00,    0.00,,,,,   62.56,   38.97,    0.00,    0.00,,,,,  264.12,  171.25,    0.00,    0.00,  435.37,    0.09,    0.00,    647.57,    476.92,      0.00,      0.00,      1.97,    647.57,    476.92,   1124.49
2026-01-14,17:54:13.511,  114.21,   79.93,    0.00,    0.00,,,,,  114.59,   79.91,    0.00,    0.00,,,,,  109.18,   75.57,    0.00,    0.00,,,,,  120.92,   87.10,    0.00,    0.00,,,,,  458.90,  322.51,    0.00,    0.00,  781.41,   63.86,   38.85,    0.00,    0.00,,,,,   64.63,   39.01,    0.00,    0.00,,,,,   71.66,   46.26,    0.00,    0.00,,,,,   62.56,   36.80,    0.00,    0.00,,,,,  262.70,  160.92,    0.00,    0.00,  423.62,   17.14,    0.00,    721.60,    483.43,      0.00,      0.00,     40.57,    721.60,    483.43,   1205.03
2026-01-14,17:54:14.512,   39.48,   18.71,    0.00,    0.00,,,,,   38.79,   18.21,    0.00,    0.00,,,,,   38.75,   18.07,    0.00,    0.00,,,,,   39.47,   18.74,    0.00,    0.00,,,,,  156.49,   73.73,    0.00,    0.00,  230.22,   16.33,   13.11,    0.00,    0.00,,,,,   16.43,   13.24,    0.00,    0.00,,,,,   16.45,   13.21,    0.00,    0.00,,,,,   16.36,   13.15,    0.00,    0.00,,,,,   65.58,   52.71,    0.00,    0.00,  118.29,    1.85,    0.00,    222.07,    126.44,      0.00,      0.00,      1.84,    222.07,    126.44,    348.51
